S,1-S,Weights_min,Weights_max,BAC,EBAY,NFLX,NKE,AIG,Return_p,Var_p,Std_p,Sharp_Ratio,Mean_v,Std
-2,3,-1.23%,-6.47%,-0.1695,-0.1597,0.7279,0.5526,0.049,0.009747364,0.003623758,0.0602,0.16192,0.003770708,0.072055722
-1.9,2.9,27.68%,13.13%,-0.16426,-0.14515,0.70598,0.5561,0.04762,0.009586902,0.003446691,0.05871,0.1633,0.003996435,0.04213087
-1.8,2.8,7.03%,28.95%,-0.15902,-0.1306,0.68406,0.5596,0.04624,0.009426441,0.003275625,0.05723,0.1647,0.011299048,0.07800818
-1.7,2.7,65.76%,62.26%,-0.15378,-0.11605,0.66214,0.5631,0.04486,0.00926598,0.003110563,0.05577,0.16614,0.0046245,0.033312024
-1.6,2.6,0.76%,2.14%,-0.14854,-0.1015,0.64022,0.5666,0.04348,0.009105519,0.002951502,0.05433,0.1676,0.005039699,0.108091534
-1.5,2.5,,,-0.1433,-0.08695,0.6183,0.5701,0.0421,0.008945057,0.002798444,0.0529,0.16909,,
-1.4,2.4,,,-0.13806,-0.0724,0.59638,0.5736,0.04072,0.008784596,0.002651388,0.05149,0.1706,,
-1.3,2.3,,,-0.13282,-0.05785,0.57446,0.5771,0.03934,0.008624135,0.002510334,0.0501,0.17213,,
-1.2,2.2,,,-0.12758,-0.0433,0.55254,0.5806,0.03796,0.008463674,0.002375283,0.04874,0.17366,,
-1.1,2.1,,,-0.12234,-0.02875,0.53062,0.5841,0.03658,0.008303212,0.002246233,0.04739,0.17519,,
-1,2,,,-0.1171,-0.0142,0.5087,0.5876,0.0352,0.008142751,0.002123187,0.04608,0.17672,,
-0.9,1.9,,,-0.11186,0.00035,0.48678,0.5911,0.03382,0.00798229,0.002006142,0.04479,0.17822,,
-0.8,1.8,,,-0.10662,0.0149,0.46486,0.5946,0.03244,0.007821829,0.0018951,0.04353,0.17968,,
-0.7,1.7,,,-0.10138,0.02945,0.44294,0.5981,0.03106,0.007661368,0.00179006,0.04231,0.18108,,
-0.6,1.6,,,-0.09614,0.044,0.42102,0.6016,0.02968,0.007500906,0.001691022,0.04112,0.18241,,
-0.5,1.5,,,-0.0909,0.05855,0.3991,0.6051,0.0283,0.007340445,0.001597987,0.03997,0.18363,,
-0.4,1.4,,,-0.08566,0.0731,0.37718,0.6086,0.02692,0.007179984,0.001510953,0.03887,0.18471,,
-0.3,1.3,,,-0.08042,0.08765,0.35526,0.6121,0.02554,0.007019523,0.001429923,0.03781,0.18563,,
-0.2,1.2,,,-0.07518,0.1022,0.33334,0.6156,0.02416,0.006859061,0.001354894,0.03681,0.18634,,
-0.1,1.1,,,-0.06994,0.11675,0.31142,0.6191,0.02278,0.0066986,0.001285868,0.03586,0.1868,,
0,1,,,-0.0647,0.1313,0.2895,0.6226,0.0214,0.006538139,0.001222844,0.03497,0.18697,,
0.1,0.9,,,-0.05946,0.14585,0.26758,0.6261,0.02002,0.006377678,0.001165822,0.03414,0.18679,,
0.2,0.8,,,-0.05422,0.1604,0.24566,0.6296,0.01864,0.006217216,0.001114803,0.03339,0.18621,,
0.3,0.7,,,-0.04898,0.17495,0.22374,0.6331,0.01726,0.006056755,0.001069785,0.03271,0.18518,,
0.4,0.6,,,-0.04374,0.1895,0.20182,0.6366,0.01588,0.005896294,0.001030771,0.03211,0.18365,,
0.5,0.5,,,-0.0385,0.20405,0.1799,0.6401,0.0145,0.005735833,0.000997758,0.03159,0.18159,,
0.6,0.4,,,-0.03326,0.2186,0.15798,0.6436,0.01312,0.005575372,0.000970748,0.03116,0.17895,,
0.7,0.3,,,-0.02802,0.23315,0.13606,0.6471,0.01174,0.00541491,0.00094974,0.03082,0.17571,,
0.8,0.2,,,-0.02278,0.2477,0.11414,0.6506,0.01036,0.005254449,0.000934734,0.03057,0.17186,,
0.9,0.1,,,-0.01754,0.26225,0.09222,0.6541,0.00898,0.005093988,0.000925731,0.03043,0.16742,,
1,0,,,-0.0123,0.2768,0.0703,0.6576,0.0076,0.004933527,0.00092273,0.03038,0.16241,,
1.1,-0.1,,,-0.00706,0.29135,0.04838,0.6611,0.00622,0.004773065,0.000925731,0.03043,0.15688,,
1.2,-0.2,,,-0.00182,0.3059,0.02646,0.6646,0.00484,0.004612604,0.000934734,0.03057,0.15087,,
1.3,-0.3,,,0.00342,0.32045,0.00454,0.6681,0.00346,0.004452143,0.00094974,0.03082,0.14447,,
1.4,-0.4,,,0.00866,0.335,-0.01738,0.6716,0.00208,0.004291682,0.000970748,0.03116,0.13774,,
1.5,-0.5,,,0.0139,0.34955,-0.0393,0.6751,0.0007,0.00413122,0.000997758,0.03159,0.13079,,
1.6,-0.6,,,0.01914,0.3641,-0.06122,0.6786,-0.00068,0.003970759,0.001030771,0.03211,0.12368,,
1.7,-0.7,,,0.02438,0.37865,-0.08314,0.6821,-0.00206,0.003810298,0.001069786,0.03271,0.1165,,
1.8,-0.8,,,0.02962,0.3932,-0.10506,0.6856,-0.00344,0.003649837,0.001114803,0.03339,0.10931,,
1.9,-0.9,,,0.03486,0.40775,-0.12698,0.6891,-0.00482,0.003489375,0.001165822,0.03414,0.1022,,
2,-1,,,0.0401,0.4223,-0.1489,0.6926,-0.0062,0.003328914,0.001222844,0.03497,0.0952,,
